serial number,beds,baths,size,zip_code,price
1198,3,2.5,1846,98199,1060000
526,3,2.5,2320,98116,949000
393,4,3.0,2360,98115,1360000
1407,2,2.0,875,98116,656500
433,3,2.5,1610,98107,895000
1720,1,1.0,722,98112,452100
1090,4,2.5,1530,98146,675000
429,9,5.0,3940,98133,1089000
1800,2,2.0,1003,98121,875000
530,3,2.5,1810,98107,1000000
1727,1,1.0,704,98144,569000
1453,4,2.0,2010,98105,1250000
1293,2,2.0,1387,98116,649000
1618,2,1.0,770,98115,640000
1022,3,1.5,1710,98122,1000000
678,2,2.0,1595,98119,945000
1128,4,2.0,2790,98126,930000
124,1,1.0,699,98115,335000
1473,2,2.0,1420,98107,690000
462,3,2.0,2354,98115,938000
1857,2,1.0,1180,98122,677000
1970,4,2.5,2474,98115,1725000
1001,2,1.0,1140,98106,528000
1206,2,2.5,1103,98107,780000
1704,3,2.0,1220,98107,824900
1298,4,2.0,1980,98136,785000
1395,4,2.0,1450,98109,1185000
1840,2,1.0,985,98121,790000
544,3,1.5,2230,98117,1075000
1957,2,1.0,770,98125,620000
973,3,2.0,2600,98144,1525000
1709,5,2.0,2920,98117,1359000
29,1,1.0,792,98101,517000
543,4,1.5,1740,98146,649950
1450,3,2.0,1580,98116,1000000
809,1,1.0,376,98199,1000000
774,4,2.5,2050,98177,805000
56,5,3.0,2900,98112,1450000
519,2,1.0,772,98103,409000
584,3,1.5,1590,98108,700000
670,3,1.0,1530,98146,435000
251,1,1.0,596,98109,445000
99,1,1.0,800,98122,450000
567,2,2.0,1290,98125,635000
588,4,3.0,3610,98105,2330000
298,4,2.5,1850,98108,945000
1555,2,2.5,867,98115,679000
422,2,1.0,650,98103,708888
1780,1,1.0,482,98109,220000
1524,3,2.0,1640,98136,900000
1883,2,2.0,1415,98125,469000
1692,1,1.0,656,98109,470000
1543,4,3.5,2015,98116,1240000
495,3,2.0,1870,98136,849000
1288,4,3.0,1830,98107,1352000
1475,4,1.5,1630,98133,734950
70,4,3.5,2031,98117,1480000
275,3,3.0,1250,98117,815000
1053,3,2.0,2000,98115,925000
1034,3,2.5,1420,98108,750000
65,2,1.0,1113,98102,595000
1659,3,2.0,2160,98115,825000
1605,4,3.5,2440,98125,1185000
1085,2,2.0,2720,98144,720000
1231,2,2.0,1213,98117,422000
394,2,2.0,724,98103,430000
923,3,1.5,1640,98103,1060000
1765,3,3.0,1540,98115,800000
111,2,1.5,2680,98102,1125000
352,3,3.5,2530,98102,1299000
1652,3,2.0,1240,98117,705000
859,3,2.5,1380,98115,613000
1245,2,1.0,1260,98133,626000
1982,3,3.0,1790,98109,1325000
1228,3,3.0,1410,98103,1200000
1405,4,2.5,3400,98112,2100000
1269,4,3.5,3070,98144,1900000
1061,6,7.0,4570,98105,1950000
628,2,1.5,1276,98103,885000
411,1,1.0,574,98109,280000
1444,2,2.0,1390,98116,954500
535,1,1.0,808,98101,730000
1336,2,2.0,1140,98103,850000
1190,5,4.5,5210,98122,3320000
1516,4,2.0,2500,98144,972500
69,3,2.0,2702,98103,1605000
1124,3,1.0,1780,98144,975000
554,4,2.0,2180,98115,838000
974,3,2.0,1900,98115,965000
1299,3,3.0,1180,98116,729000
1251,2,2.0,1586,98101,1460000
1991,1,1.0,603,98133,400000
581,6,4.0,2310,98108,849000
1853,3,3.0,1608,98126,625000
1900,2,2.0,1019,98119,813000
721,5,3.0,3590,98117,1700000
1192,2,1.5,1060,98118,530000
1745,3,1.5,990,98122,775000
785,4,2.5,2840,98105,1200000
1089,2,2.5,950,98107,695000
1469,2,1.0,1060,98125,700000
1548,2,2.0,1469,98115,900000
765,2,1.5,938,98106,425000
1301,4,2.0,2010,98115,1100000
1947,2,3.0,1260,98117,770000
1013,3,1.5,1880,98125,749000
486,3,2.5,2131,98119,1520000
128,5,8.5,3110,98115,1606500
1242,5,3.5,4060,98116,2888000
1686,2,2.0,1042,98144,630000
1328,7,4.0,2300,98122,1095000
855,3,3.5,1740,98122,840000
915,2,1.0,800,98125,550000
361,1,1.0,610,98119,340000
1786,2,2.0,1057,98105,599900
1229,1,1.0,831,98136,480000
256,2,2.0,1018,98199,545000
1738,3,2.0,2170,98178,560000
1347,3,3.0,1390,98126,1095000
1187,2,1.0,1410,98118,799000
342,2,2.5,1635,98102,1850000
1950,1,1.0,648,98121,395000
1820,3,2.0,2020,98117,840000
1040,2,2.0,1170,98144,644999
1831,1,2.0,1137,98119,930000
1833,2,1.0,808,98115,422500
307,5,3.0,3820,98116,1575000
1566,4,2.0,1870,98199,1040000
767,1,1.0,680,98104,355000
968,3,3.0,1687,98115,1035000
1302,4,3.5,3487,98136,2010000
233,4,2.0,1750,98105,1025000
231,3,2.5,1380,98106,590000
1216,1,1.0,718,98119,459000
1804,2,2.0,2470,98102,1525000
1005,2,3.0,2943,98105,1650000
1345,4,1.0,1420,98178,445000
1067,4,3.5,4002,98116,2100000
900,1,2.0,966,98121,640000
808,2,1.0,790,98178,532500
1182,2,2.0,1088,98133,475000
354,4,2.0,2820,98117,1441000
994,3,2.0,1290,98144,925000
1305,2,2.0,1131,98103,470000
1258,3,1.5,2160,98117,915000
305,1,1.0,570,98116,345000
964,5,3.5,5090,98102,4325000
1679,4,2.5,2780,98136,1530000
1911,3,5.5,1730,98105,850000
782,2,2.0,1112,98177,675000
752,2,2.5,1966,98103,1495000
532,3,3.0,1480,98117,729000
1310,4,2.0,3040,98199,1665500
1268,2,2.5,1124,98115,799950
614,2,2.5,1159,98122,885000
120,2,2.0,843,98103,346250
1358,2,3.0,1226,98144,589990
1037,3,1.5,1920,98133,865000
792,1,1.0,696,98122,449000
764,4,2.0,2640,98122,700000
781,2,2.0,834,98115,552450
135,2,2.0,866,98107,555000
1323,5,2.0,2160,98106,795000
374,4,2.5,2370,98146,750000
316,3,1.5,1630,98115,895000
1994,2,1.0,1770,98103,926000
254,3,2.5,1540,98122,852500
464,3,1.0,1340,98177,785000
1466,1,2.0,1141,98122,699950
109,3,2.0,1720,98199,855000
1609,1,1.0,475,98121,385000
938,3,1.0,4018,98122,517500
1875,5,2.0,1920,98118,739000
239,2,1.0,1460,98115,400000
1226,4,2.0,1700,98125,891000
1834,4,4.0,2550,98117,1550000
1718,2,2.0,1042,98102,610000
212,1,1.0,519,98105,354000
1770,1,1.0,569,98104,435000
1441,1,1.0,505,98102,325000
1860,4,2.0,2220,98144,740000
416,4,3.0,2370,98115,1830000
351,2,2.0,1200,98122,705000
1425,2,2.0,1365,98122,799000
903,9,5.0,3590,98117,1100400
344,3,1.0,990,98146,635000
1078,5,3.5,2387,98133,1125000
281,3,2.5,1465,98119,1175000
1043,2,1.5,1290,98144,762500
529,3,2.0,1425,98117,750000
1137,1,1.0,540,98104,335000
1626,2,2.0,1370,98168,280000
576,3,2.0,1540,98144,680000
2006,2,2.0,839,98125,385000
211,3,3.0,1940,98199,450000
350,3,1.0,830,98125,660000
324,5,2.0,1830,98118,665000
1889,3,2.5,1890,98144,699000
555,3,2.0,1350,98103,785000
707,1,1.0,530,98118,390800
1620,3,2.0,1622,98125,692950
1330,2,2.0,1817,98102,2100000
49,4,3.5,2478,98115,1580000
210,2,2.0,1201,98103,699950
1100,3,2.5,2793,98109,1732000
1357,1,1.0,568,98104,330000
1997,2,1.5,860,98122,734950
986,4,2.0,2591,98125,800000
1116,3,2.0,1425,98117,759999
1284,3,1.5,1730,98115,870000
173,3,2.5,2350,98115,1582800
289,2,2.0,2360,98199,1460000
1740,3,3.5,1450,98115,835000
247,4,3.0,1180,98117,956300
237,2,2.0,1560,98115,980000
1286,4,2.0,2400,98177,900000
720,3,1.5,1250,98178,552000
637,2,5.5,2659,98102,6250000
23,3,1.5,1280,98146,625000
602,5,3.0,2510,98103,910000
63,5,3.0,2820,98136,900000
1723,2,1.0,970,98116,480000
188,3,1.5,1370,98178,659950
705,3,3.0,1720,98177,865000
1935,3,1.0,1810,98178,512000
1335,3,2.0,1449,98107,720000
1237,2,1.0,980,98168,475000
1966,1,1.0,720,98126,365000
1467,2,3.0,1276,98106,520000
514,2,2.0,834,98126,351000
196,3,1.0,1660,98115,749900
471,2,1.5,805,98107,500000
1936,1,1.0,907,98119,585000
1285,1,1.0,816,98109,560000
270,4,3.0,2380,98115,1399999
438,3,2.0,1096,98117,875000
100,3,3.0,1450,98117,750000
1666,1,1.0,777,98146,244950
1538,5,3.0,2370,98118,800000
1954,1,1.0,774,98146,265000
220,4,3.0,2840,98177,1350000
366,4,3.5,3050,98102,2250000
1134,3,1.5,2550,98105,958748
674,1,1.0,492,98146,205000
1058,4,2.5,1354,98118,485000
1033,4,2.0,2440,98122,1060000
368,3,2.5,1926,98122,1148000
613,4,3.0,1400,98107,1000000
1265,2,2.0,1217,98199,787950
1374,2,1.0,990,98133,474000
1647,5,3.5,3710,98199,2525000
306,3,2.0,1460,98117,888000
483,2,1.0,1180,98122,870260
1628,4,2.5,1760,98144,925000
730,2,2.5,2803,98101,2320000
115,4,2.0,1910,98168,630000
1953,5,3.0,2550,98125,1450000
1403,1,1.0,636,98102,450000
482,4,2.0,2178,98133,880000
1604,3,2.5,1330,98107,819999
651,2,2.0,1644,98101,2250000
1623,3,3.0,2080,98108,762000
1004,2,2.0,1065,98126,430000
1274,1,1.0,758,98103,469000
78,2,1.0,870,98118,555000
829,3,1.0,1260,98168,440000
32,3,3.0,1550,98115,950000
914,3,2.5,1580,98103,1095000
936,4,2.0,1742,98105,781000
382,3,2.0,1496,98144,824500
630,5,3.5,4180,98109,3000000
163,2,2.0,1030,98122,575000
203,1,1.0,621,98133,289900
1355,3,2.5,1880,98106,725000
1193,2,2.5,996,98122,799000
1575,4,3.5,2970,98103,2080000
916,3,1.0,980,98103,500000
1249,3,2.0,1049,98112,900000
1981,2,2.0,1252,98121,1349000
1712,2,2.0,1523,98121,1425000
1699,3,2.5,2080,98116,1200000
1639,3,2.0,1400,98117,780000
1383,2,1.0,2380,98108,640000
218,4,4.0,2650,98103,1000000
1946,2,1.0,700,98117,800000
1587,2,1.0,670,98126,510000
861,3,2.0,2110,98108,815000
353,4,3.0,2660,98117,1360000
712,2,2.0,3120,98118,1050000
59,3,2.5,1500,98105,860000
1083,3,2.5,1760,98136,850000
297,1,1.0,712,98133,325000
73,3,1.5,1340,98106,615000
162,2,1.0,840,98108,489000
963,1,1.0,696,98105,385000
1547,5,2.0,2740,98103,1175000
1503,2,2.0,1060,98117,650000
1052,4,2.0,1640,98136,730000
2008,3,2.0,1482,98117,919000
1023,5,3.0,2120,98126,750000
45,2,2.0,1523,98121,1395000
1263,2,2.0,1761,98115,665000
1107,3,2.5,1570,98103,901000
432,1,1.0,715,98115,515000
1657,3,2.0,1120,98106,600000
76,1,1.0,635,98104,509950
1932,3,2.0,1799,98103,940000
1424,5,2.5,3350,98126,1275000
1472,3,2.0,1770,98118,660000
478,2,2.0,880,98126,680000
453,2,1.0,770,98126,560000
383,2,2.5,1250,98117,725000
926,4,2.0,1480,98118,665000
30,3,2.5,1690,98108,760000
1392,3,1.0,980,98119,700000
1523,4,2.0,1670,98106,650000
999,2,1.5,1320,98116,810000
1113,2,2.5,820,98126,525000
1057,4,3.0,2160,98125,980000
1173,4,4.5,3610,98112,2800000
862,1,1.0,557,98102,399950
1561,3,2.0,1740,98115,1070000
1578,3,2.5,1520,98108,818000
1391,3,3.0,1280,98103,900000
1977,3,3.0,1650,98103,974999
44,2,2.0,1280,98112,776000
494,4,3.0,3120,98144,1670000
168,3,1.5,1172,98122,685000
303,2,1.0,1120,98122,700000
2003,1,1.0,705,98103,490000
420,3,3.0,3120,98199,1350000
1940,4,2.0,2630,98115,1350000
611,3,2.5,1550,98107,825000
1735,4,2.5,2190,98136,1075000
1292,1,1.0,510,98104,308000
1664,5,3.0,2610,98109,1795000
585,3,2.5,1280,98105,900000
1975,2,2.0,1004,98125,325000
802,3,2.0,1800,98117,1130000
1283,3,1.0,890,98126,575000
1290,4,4.0,2300,98115,1210000
414,2,1.0,1720,98118,575000
185,2,1.0,1422,98117,715000
710,1,1.5,1021,98101,1099900
1170,1,1.0,513,98121,315000
1211,4,3.0,2949,98103,1610000
300,2,1.0,970,98106,386000
1576,4,2.0,2340,98103,1800000
1744,1,1.0,672,98107,485000
939,3,3.5,1530,98117,1089000
1611,4,3.0,1780,98117,1184000
817,1,1.0,562,98199,285000
1948,4,2.0,1770,98115,1425000
1375,2,1.0,1520,98117,820000
987,2,2.0,1400,98119,1295000
175,3,1.0,1000,98118,710000
1179,9,9.0,3780,98119,1210000
694,3,1.5,2300,98107,1125000
1621,2,1.0,1210,98144,725000
123,3,3.5,1370,98117,699500
367,3,2.0,2020,98133,917500
1532,2,2.0,1403,98125,480000
788,3,3.0,1687,98115,946000
39,1,1.0,573,98102,390000
715,1,1.0,578,98121,379000
950,4,3.5,2191,98103,1394600
331,4,2.5,2240,98117,1050000
1498,2,1.0,1015,98102,650000
194,6,3.0,3020,98178,775000
527,3,2.5,2150,98116,1360000
965,3,4.5,1460,98108,700000
1726,1,1.0,712,98109,385000
322,1,1.0,630,98133,255000
1204,1,1.0,603,98121,432000
266,2,2.0,1245,98168,330000
1255,4,3.0,3110,98119,1500000
1440,2,2.0,886,98116,660000
67,3,2.5,2620,98119,1300000
1847,2,1.0,990,98108,455000
1813,3,3.5,2996,98115,2050000
680,3,2.5,1346,98107,899000
485,3,3.0,2070,98136,730000
480,3,2.0,1340,98103,925000
1421,5,3.5,3310,98102,1637500
706,2,2.0,1015,98115,500000
548,4,4.5,5200,98118,2600000
1422,2,2.0,1699,98109,640000
427,2,3.0,1740,98105,1395000
1645,5,3.0,2580,98109,1500000
1487,2,2.0,1200,98122,705000
479,1,1.0,794,98121,660000
450,2,1.0,1440,98125,699950
925,1,1.0,594,98105,405000
617,4,2.5,2052,98178,865000
1541,1,1.0,690,98133,290000
1962,4,3.5,2960,98103,1700000
1670,4,3.0,2440,98199,1850000
943,3,2.5,1650,98106,675000
1922,3,3.5,1762,98102,1000000
1111,3,2.5,1631,98103,1049950
693,14,5.0,3884,98106,1300000
1492,2,1.0,512,98103,312000
921,4,5.5,2410,98146,1500000
261,5,2.5,2900,98106,800000
746,3,2.0,2120,98103,1130000
1380,4,3.5,3018,98103,1795000
240,3,2.0,1380,98117,800000
1644,2,1.0,1150,98118,575000
2014,2,2.0,795,98103,590000
579,1,1.0,648,98115,515000
1350,4,2.0,1840,98103,825000
552,4,3.5,2560,98144,1325000
365,3,2.0,2980,98115,1415000
1029,2,1.0,792,98102,520000
1742,4,3.0,2320,98112,1472500
591,1,1.0,620,98119,399000
741,2,1.5,1120,98103,605000
1281,3,3.0,2560,98112,1300000
583,2,1.0,2110,98146,376000
71,3,2.0,2350,98178,888000
887,3,3.5,1500,98103,700000
259,4,3.0,2190,98126,860000
51,2,1.0,720,98177,600000
198,2,1.5,917,98103,625000
1181,3,3.0,1410,98107,865000
654,2,1.0,2530,98122,700000
332,2,1.0,886,98112,620000
1488,3,2.0,1939,98109,1070000
596,2,2.0,1415,98125,449000
1693,5,2.0,2800,98103,1200000
1165,2,2.0,1081,98144,620000
962,2,2.0,1019,98119,499000
907,2,2.5,1048,98115,760000
888,3,2.0,2020,98119,900000
704,1,1.0,620,98178,524950
426,4,2.5,3080,98117,1650000
1342,3,2.0,1328,98103,929950
1784,3,2.0,1684,98117,870000
593,3,2.5,1970,98103,715000
990,2,1.0,1410,98118,590000
1992,2,2.0,1456,98199,575000
582,3,3.5,3130,98105,2350000
727,4,2.5,3680,98118,1880000
398,1,1.0,727,98103,445000
572,3,2.0,1460,98116,759000
436,2,2.0,1125,98102,705000
192,4,2.0,2370,98115,1350000
1656,4,2.5,3707,98177,2100000
618,1,1.0,773,98121,685000
292,4,2.0,2340,98115,925000
1583,3,2.0,1170,98144,740000
1565,2,1.5,770,98116,550000
812,3,3.5,2106,98115,1266000
1549,3,2.5,2860,98126,1630000
507,1,1.0,954,98101,555000
141,3,2.5,1670,98178,600000
1404,3,2.0,1940,98107,895000
2,4,3.0,2040,98107,950000
756,2,2.0,1030,98125,826500
1885,3,3.5,3290,98126,1400000
1259,4,5.5,3100,98125,1375000
339,3,3.0,1460,98144,1000000
1544,5,3.5,3880,98112,2975000
982,4,3.5,2640,98103,1750000
538,3,1.0,1220,98107,750000
265,3,2.5,1566,98122,875000
376,4,1.0,1310,98146,735000
692,3,3.0,1454,98122,890955
1691,3,2.0,1540,98122,900000
439,3,4.5,3760,98199,1570000
271,2,2.5,1884,98116,925000
184,2,1.5,1230,98122,650000
948,3,2.0,1759,98116,890000
244,3,2.5,2000,98106,799000
1091,2,1.0,830,98103,942000
445,2,2.0,1170,98115,428000
599,3,3.5,2570,98105,2000000
824,2,2.0,1369,98116,720000
1651,2,2.0,1353,98115,770000
1417,4,2.0,1680,98178,517500
1322,2,2.5,1088,98133,475000
978,3,1.0,910,98106,650000
415,3,2.0,2050,98109,1265000
273,2,2.0,1196,98107,734999
736,3,2.0,1060,98106,599000
1650,3,3.5,1846,98107,1170000
1465,3,2.5,1710,98115,1190000
250,2,3.0,1300,98107,780000
413,4,3.0,3320,98116,750000
620,2,2.0,2353,98116,1160000
1316,3,1.0,1000,98136,750000
1775,3,2.0,1590,98117,880000
310,2,2.0,1170,98144,624999
777,4,3.0,3090,98168,210000
381,4,2.0,2360,98115,950000
561,1,1.0,709,98109,470000
425,3,1.0,2160,98115,920000
1890,4,3.0,2230,98115,1150000
534,2,1.0,1027,98115,300000
757,3,2.0,1514,98107,915000
771,8,4.0,3136,98146,1005000
1366,1,1.0,1100,98107,745000
408,3,2.0,1590,98146,560000
1625,1,1.0,597,98109,360000
1600,4,3.5,2400,98103,1750000
1955,2,2.5,1736,98122,970000
1161,1,2.0,1009,98116,525000
944,1,1.0,640,98144,497000
1159,3,3.0,1620,98136,1058000
1569,2,1.0,1650,98106,630000
650,1,1.0,557,98102,370000
1913,3,3.5,1300,98106,583000
182,1,1.0,854,98107,455000
170,4,2.5,3060,98115,1450000
1943,5,4.0,2030,98144,670000
590,2,1.0,1040,98133,350000
1892,2,1.0,925,98103,535000
1696,5,4.0,2447,98117,1500000
857,4,1.0,1340,98144,685000
272,3,2.5,1712,98117,910000
1560,3,3.5,1580,98144,760000
1545,4,2.0,2280,98168,625000
1452,3,2.0,2100,98116,1325000
371,2,2.5,1580,98106,699000
222,4,4.5,2440,98105,1900000
904,6,5.5,4299,98115,3300000
1759,2,2.0,1320,98119,860000
1319,5,3.0,2820,98117,1550000
518,4,3.5,5690,98112,3630000
334,4,2.0,1730,98146,852000
1581,4,1.0,1150,98118,575000
1344,4,3.0,2481,98115,999000
1812,3,2.5,1813,98116,1275000
607,5,4.0,2470,98118,1005000
15,2,1.5,900,98133,549755
1460,2,1.0,910,98117,800000
1990,3,1.5,2200,98117,860000
1550,2,2.0,1479,98116,640000
1872,2,1.5,1022,98144,729000
610,2,2.0,693,98119,490000
1448,3,3.0,2630,98115,1130000
465,2,1.0,903,98146,363500
1401,3,2.0,1730,98125,910000
199,2,1.0,900,98126,480000
1280,4,3.5,3495,98144,2000000
1341,4,2.0,2600,98117,1098500
1797,2,2.0,980,98118,849950
1309,4,3.5,3300,98125,1575000
1743,3,2.0,1470,98106,600000
1624,2,2.0,875,98116,625000
1755,3,2.5,1515,98102,905000
1423,5,4.0,3180,98105,2100000
976,1,1.0,1270,98108,915000
570,3,2.0,1660,98115,795000
43,1,1.0,617,98109,480000
274,3,2.0,1098,98105,864950
1906,3,1.0,860,98178,425000
101,1,1.0,756,98121,550000
1427,3,1.5,1880,98118,489000
733,3,2.0,1370,98103,1270000
1399,3,4.5,1760,98109,1440000
107,4,4.0,3142,98119,1600000
1041,3,2.5,1600,98144,699900
497,3,2.5,2783,98199,1640000
1996,1,1.0,600,98122,310000
889,3,3.5,2188,98112,1700000
1433,1,1.0,615,98199,315000
1610,5,3.0,2360,98103,1240000
1114,3,2.5,1610,98119,875000
1616,5,6.5,6240,98115,3122000
619,2,2.0,1040,98118,345000
865,3,1.5,1550,98133,835000
72,4,1.5,2640,98115,1850000
1247,5,2.0,3210,98115,688000
1222,2,2.0,900,98122,590000
1175,3,1.0,2130,98117,850000
1494,3,2.0,2630,98117,1290000
481,4,2.5,2560,98116,1712000
1075,4,2.5,1910,98103,1625000
506,4,2.0,2037,98119,1247500
679,2,2.0,1526,98199,893000
1235,4,3.5,2304,98103,1550000
2005,5,4.0,2734,98115,1300000
745,3,2.0,1100,98122,645000
1117,2,2.5,1086,98115,884950
1239,1,1.0,704,98144,645000
311,1,1.0,587,98125,260000
834,3,2.5,1861,98121,1395000
405,2,2.0,1370,98121,1050000
1919,3,1.0,1320,98168,529000
1151,3,2.5,1360,98103,700000
309,5,3.0,2777,98125,1338600
226,4,3.0,2478,98105,2095000
1711,4,1.5,2770,98119,850000
1006,3,2.0,1250,98106,625000
1640,6,4.5,5200,98144,3050000
832,4,3.0,2200,98118,874999
1436,2,1.5,1390,98107,759950
148,5,4.0,2810,98103,1295000
744,2,2.0,1020,98118,605000
1084,1,1.0,808,98164,560000
838,2,2.5,2714,98102,1735000
1220,3,2.0,2140,98133,925000
845,4,2.0,1470,98118,460000
575,4,2.0,1160,98103,710000
